zipcode,racial_maj,total_pop,no_debts,total_debt_amt,summed_debt_amt,water_balance,sewer_balance,tax_balance,penalty_balance,garbage_balance,other_balance,no_metered_homes,no_unmetered_homes,total_debt_metered,total_debt_unmetered,avg_debt,avg_metered_debt,avg_unmetered_debt
60659,,42735,2039,2837379.509999999,2835140.579999998,990659.2699999965,921509.6099999967,921509.6099999967,261162.97999999975,108860.80000000006,2943.29,1072,967,2098795.979999997,738583.5300000006,362.22831289847994,688.9771735074632,763.7885522233719
60612,Black,33735,2020,7683668.539999995,7692018.389999994,2525274.119999996,2623102.899999998,2623102.899999998,899131.9899999992,329305.91,18250.409999999996,1457,563,6192246.910000001,1491421.630000003,738.3275396039619,1023.625003431711,2649.0615097690993
60615,Black,40590,1995,4905066.050000021,4916378.240000017,1643319.4600000058,1631077.640000003,1631077.640000003,567548.9999999992,168701.53000000003,4512.86,1672,323,4277595.269999998,627470.7800000006,314.5216942355893,375.2815669856463,1942.6339938080514
60616,,54197,1931,3315645.69,3341600.239999999,1088743.8399999987,1139924.0599999982,1139924.0599999982,358806.3500000004,114456.94000000002,3909.85,1592,339,2966535.940000004,349109.7500000001,180.79220611082346,219.2900439698493,1029.822271386431
60640,White,69363,1926,2379029.1700000023,2384653.110000001,833066.580000002,848361.2400000019,848361.2400000019,125419.60999999991,74171.74999999993,2561.75,1644,282,2087844.410000001,291184.75999999983,151.18627206645888,177.11968369829674,1032.5700709219852
60653,Black,33154,1538,4198715.479999999,4218441.92,1336536.7600000019,1332679.750000001,1332679.750000001,613940.3299999996,218079.42000000016,8390.719999999998,1358,180,3732749.36,465966.12000000064,302.9688686605986,343.1267452135498,2588.7006666666703
60613,White,50761,1478,1077466.4800000004,1080487.54,361881.41999999975,366640.46999999986,366640.46999999986,68471.90999999997,67110.29000000002,1727.98,1281,197,910719.7799999984,166746.69999999984,112.81914749661694,130.16916471506622,846.4299492385778
60660,White,44498,1238,1958510.690000002,1961431.3800000022,692189.2499999991,687215.0599999994,687215.0599999994,120494.64999999995,55972.16999999998,1282.77,969,269,1696624.4000000001,261886.2899999997,211.53981421647794,270.26448916408634,973.5549814126382
60626,,50544,1053,1964006.720000001,1964349.4300000002,672233.5299999997,675369.3699999998,675369.3699999998,176711.43000000014,51178.61000000002,1701.77,712,341,1619430.36,344576.35999999975,327.23301044634354,483.95556179775247,1010.487859237536
60633,,12689,1038,1654172.9599999932,1654457.5899999938,578836.6300000012,529934.0900000003,529934.0900000003,176196.6000000001,85213.75000000003,2667.7999999999997,542,496,1195007.5399999989,459165.4199999996,442.35589595375683,847.168671586715,925.7367338709669
60642,White,19716,546,670135.5700000006,671600.9600000007,216606.71999999988,209769.6699999999,209769.6699999999,89267.58000000003,44314.97,1059.08,495,51,617361.3500000002,52774.22000000003,96.65608058608065,106.61458585858593,1034.788627450981
60607,White,29293,504,880742.9800000004,901136.2900000004,319173.45000000007,319786.0700000001,319786.0700000001,92304.11,20680.06000000001,4345.65,434,70,836471.3500000002,44271.63,87.8405357142857,102.00836405529954,632.4518571428571
60610,White,40548,415,1011600.1699999999,1025031.7100000001,351212.77000000025,351433.49000000017,351433.49000000017,115038.92000000003,14561.169999999996,727.15,390,25,941025.74,70574.42999999996,170.05886746987943,180.96007692307683,2822.9771999999984
60827,Black,28483,398,35108977.02000001,35106823.55000001,16469660.889999988,486859.41999999963,486859.41999999963,17876006.57,88584.37000000001,6753.92,157,241,33667451.84,1441525.1800000006,3621.922562814072,9181.689044585992,5981.432282157679
60605,White,29060,372,777265.7799999997,780672.6199999996,294715.9800000001,297173.33,297173.33,22769.67,4548.06,252.44,372,0,777265.7799999997,0,0.0,0.0,
60611,White,33224,161,994398.2699999997,993655.6599999996,354045.9000000001,355994.67000000004,355994.67000000004,74193.36000000002,1260.2299999999998,366.0,159,2,994127.7099999997,270.56,1.6804968944099379,1.7016352201257863,135.28
60654,White,20022,118,471764.37,474353.25,161002.24999999994,160838.78999999992,160838.78999999992,73739.83,1527.8799999999999,565.3199999999999,116,2,459851.14,11913.23,100.95957627118644,102.70025862068965,5956.615
60606,White,3287,96,541064.3799999998,541063.4599999997,194762.63000000012,196073.75000000012,196073.75000000012,42166.83999999999,28.75,34.0,96,0,541064.3799999998,0,0.0,0.0,
60603,White,1052,70,322579.2,322579.19999999995,118894.8,120742.27,120742.27,8488.31,86.77,0.0,70,0,322579.2,0,0.0,0.0,
60661,White,10354,66,106883.00000000001,106883.00000000001,39716.45,39882.97,39882.97,3090.4300000000007,289.32,152.0,66,0,106883.00000000001,0,0.0,0.0,
60601,White,15083,47,496904.9500000001,479680.9100000001,195817.7,195992.31999999995,195992.31999999995,19354.499999999996,0.0,84.0,47,0,496904.9500000001,0,0.0,0.0,
60604,White,823,47,186278.09999999998,186278.10000000003,66062.11000000002,71508.87000000001,71508.87000000001,7515.580000000001,0.0,0.0,47,0,186278.09999999998,0,0.0,0.0,
60602,White,1145,27,486249.4199999999,493377.23999999993,167672.50999999995,170147.56999999995,170147.56999999995,60882.45,0.0,0.0,27,0,486249.4199999999,0,0.0,0.0,
